Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Author Keywords,Index Keywords,Funding Details,Funding Text 1,Funding Text 2,Funding Text 3,Funding Text 4,Funding Text 5,Funding Text 6,Funding Text 7,Funding Text 8,Funding Text 9,Funding Text 10,Document Type,Publication Stage,Open Access,Source,EID
"Pate F.D., Henneberg M., Anson T.J., Owen T.D., Newchurch J., Draper N., Wight C., Lucas T., Moffat I., Weyrich L.S., Skelly E., Naumann J., Gurr A., Logan C., Walsh J.","35988284300;7006985833;24467212900;36977512300;56926641400;7005349896;57211212866;56043027800;25224840300;33368323500;57203863601;57192364660;57224070853;57296243100;57296063700;","A stable, inexpensive and widely available burial environment or keeping place for archaeological or historical human skeletal remains",2020,"Australasian Historical Archaeology","38",,,"68","71",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85117115513&partnerID=40&md5=da468af1fd2b053788a819bfe8024b25","Archaeology, Flinders University, Australia; Adelaide Medical School, University of Adelaide, Australia; GML Heritage, Australia; Kaurna Nation Cultural Heritage Association; School of Medical Sciences, Anatomy, University of New South Wales, Australia; Australian Centre for Ancient DNA, University of Adelaide, Australia","Pate, F.D., Archaeology, Flinders University, Australia; Henneberg, M., Archaeology, Flinders University, Australia, Adelaide Medical School, University of Adelaide, Australia; Anson, T.J., Adelaide Medical School, University of Adelaide, Australia; Owen, T.D., Archaeology, Flinders University, Australia, GML Heritage, Australia; Newchurch, J., Kaurna Nation Cultural Heritage Association; Draper, N., Archaeology, Flinders University, Australia; Wight, C., Archaeology, Flinders University, Australia; Lucas, T., Archaeology, Flinders University, Australia, School of Medical Sciences, Anatomy, University of New South Wales, Australia; Moffat, I., Archaeology, Flinders University, Australia; Weyrich, L.S., Australian Centre for Ancient DNA, University of Adelaide, Australia; Skelly, E., Australian Centre for Ancient DNA, University of Adelaide, Australia; Naumann, J., Archaeology, Flinders University, Australia; Gurr, A., Adelaide Medical School, University of Adelaide, Australia; Logan, C., Archaeology, Flinders University, Australia; Walsh, J., Archaeology, Flinders University, Australia","Ancestral remains; Concrete crypt; Human skeletal remains; Keeping place; Repatriation",,"Australian Government; Australian Research Council, ARC: DE160100703","This research was initiated by the Venerable Father John Stephenson of St Mary’s Anglican Church in Adelaide, South Australia. Following the retirement of Father Stephenson, it has been continued in association with the Venerable Father William Deng. We thank the St Mary’s Church administration and associated community members for their ongoing support of archaeological research associated with the parish and surrounding area. Dr Ian Moffat is the recipient of Australian Research Council Discovery Early Career Award DE160100703 funded by the Australian Government. The research team pays their respect to all those interred in the crypt and St Mary’s Anglican Church cemetery and to the Indigenous owners of the land on which the cemetery has been located.","This research was initiated by the Venerable Father John Stephenson of St Mary?s Anglican Church in Adelaide, South Australia. Following the retirement of Father Stephenson, it has been continued in association with the Venerable Father William Deng. We thank the St Mary?s Church administration and associated community members for their ongoing support of archaeological research associated with the parish and surrounding area. Dr Ian Moffat is the recipient of Australian Research Council Discovery Early Career Award DE160100703 funded by the Australian Government. The research team pays their respect to all those interred in the crypt and St Mary?s Anglican Church cemetery and to the Indigenous owners of the land on which the cemetery has been located.",,,,,,,,,Article,"Final","",Scopus,2-s2.0-85117115513
"Pate F.D.","35988284300;","Diet, mobility and subsistence-settlement systems in the late holocene lower murray river basin of South Australia: Testing models of aboriginal seasonal mobility and sedentism with isotopic and archaeological data",2017,"Journal of the Anthropological Society of South Australia","41",,,"123","171",,2,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051180584&partnerID=40&md5=a38f523c29a73222a9b1fc8d7714efc7","College of Humanities, Arts and Social Sciences, Flinders University, GPO Box 2100, Adelaide, SA  5001, Australia","Pate, F.D., College of Humanities, Arts and Social Sciences, Flinders University, GPO Box 2100, Adelaide, SA  5001, Australia",,,,,,,,,,,,,,Article,"Final","",Scopus,2-s2.0-85051180584
"Pate F.D.","35988284300;","The use of human skeletal remains in landscape archaeology",2016,"Handbook of Landscape Archaeology",,,,"502","520",,10,"10.4324/9781315427737-63","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106136002&doi=10.4324%2f9781315427737-63&partnerID=40&md5=924c61efa48594df30146b50f77ad3c3","Department of Archaeology, Flinders University, G.P.O. Box 2100, Adelaide, SA  5001, Australia","Pate, F.D., Department of Archaeology, Flinders University, G.P.O. Box 2100, Adelaide, SA  5001, Australia",,,,,,,,,,,,,,Book Chapter,"Final","",Scopus,2-s2.0-85106136002
"Pate F.D., Henneberg R.J., Henneberg M.","35988284300;6602223136;7006985833;","Stable carbon and nitrogen isotope evidence for dietary variability at Ancient Pompeii, Italy",2016,"Mediterranean Archaeology and Archaeometry","16","1",,"127","133",,11,"10.5281/zenodo.35526","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84960958042&doi=10.5281%2fzenodo.35526&partnerID=40&md5=76321d9badca2d1de11b026ef7e1ac2f","Flinders University, Department of Archaeology, Australia; University of Adelaide, Biological Anthropology and Comparative Anatomy Research Unit, Australia","Pate, F.D., Flinders University, Department of Archaeology, Australia, University of Adelaide, Biological Anthropology and Comparative Anatomy Research Unit, Australia; Henneberg, R.J., University of Adelaide, Biological Anthropology and Comparative Anatomy Research Unit, Australia; Henneberg, M., Flinders University, Department of Archaeology, Australia, University of Adelaide, Biological Anthropology and Comparative Anatomy Research Unit, Australia","Ancient roman diet; Italy; Palaeodiet; Pompeii; Stable isotopes",,,,,,,,,,,,,Article,"Final","",Scopus,2-s2.0-84960958042
"Pate F.D., Owen T.D.","35988284300;36977512300;","Stable carbon and nitrogen isotopes as indicators of sedentism and territoriality in late Holocene South Australia",2014,"Archaeology in Oceania","49","2",,"86","94",,13,"10.1002/arco.5019","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84905096747&doi=10.1002%2farco.5019&partnerID=40&md5=cebc875360fc384af626bae6d2d219d6","Department of Archaeology, Flinders University, Adelaide, SA 5001, Australia","Pate, F.D., Department of Archaeology, Flinders University, Adelaide, SA 5001, Australia; Owen, T.D., Department of Archaeology, Flinders University, Adelaide, SA 5001, Australia","Australia; carbon isotopes; hunter-gatherers; nitrogen isotopes; sedentism; territoriality",,,,,,,,,,,,,Article,"Final","",Scopus,2-s2.0-84905096747
"Pate F.D., Anson T.J.","35988284300;24467212900;","Stable isotopes and dietary composition in the mid-late 19th century anglican population, Adelaide,South Australia",2012,"Journal of the Anthropological Society of South Australia","35",,,"1","16",,7,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84986905580&partnerID=40&md5=7f73d8ddeec4d4db89f5a8e632cac7fe","Department of Archaeology, Flinders University, Adelaide, SA  5001, Australia; Department of Anatomical Sciences, University of Adelaide, Adelaide, SA  5005, Australia","Pate, F.D., Department of Archaeology, Flinders University, Adelaide, SA  5001, Australia; Anson, T.J., Department of Archaeology, Flinders University, Adelaide, SA  5001, Australia, Department of Anatomical Sciences, University of Adelaide, Adelaide, SA  5005, Australia",,,"Commonwealth Scientific and Industrial Research Organisation, CSIRO; Flinders University; University of Adelaide","We thank The Venerable Rev. Fr. John Stephenson, the Parishioners of St Mary's Church and the Anglican Church of Australia for recognising the potential for this project and its contribution to the community. The stable isotope analyses were associated with an Honours thesis in Forensic and Analytical Chemistry by Duncan Taylor at Flinders University. Mass spectrometry services were provided by Dr Maurice Amato, CSIRO Land and Water, Adelaide, South Australia. The St Mary's excavations were coordinated by Dr William H. Adams, Department of Archaeology, Flinders University and analyses of‎the human skeletal remains were directed by Professor Maciej Henneberg, Department of Anatomical Sciences, University of Adelaide. Finally, we thank the large number of students and volunteers who contributed to the excavations and post-‎excavation analyses.",,,,,,,,,,Article,"Final","",Scopus,2-s2.0-84986905580
"Pate F.D., Roberts A.L., Walshe K., Owen T.D.","35988284300;55598595700;26035760700;36977512300;","Stable isotopic analysis of indigenous skeletal remains from Blanchetown Bridge, south Australia",2011,"Journal of the Anthropological Society of South Australia","34",,,"90","99",,2,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84986897278&partnerID=40&md5=99f6c79525e8ad4b891a10581786788a","Department of Archaeology, Flinders University, Adelaide, SA  5001, Australia; South Australian Museum, North Terrace, Adelaide, SA  5000, Australia; GML Heritage Consultants, 78 George Street, Redfern, NSW, Australia","Pate, F.D., Department of Archaeology, Flinders University, Adelaide, SA  5001, Australia; Roberts, A.L., Department of Archaeology, Flinders University, Adelaide, SA  5001, Australia; Walshe, K., South Australian Museum, North Terrace, Adelaide, SA  5000, Australia; Owen, T.D., GML Heritage Consultants, 78 George Street, Redfern, NSW, Australia",,,"Australian Research Council, ARC; Australian Institute of Nuclear Science and Engineering, AINSE","We would first like to thank the Mannum Aboriginal Community (in particular the late Mr Richard Hunter and his daughter Isabelle Campbell) as well as the First Peoples of the River Murray and Mallee Region Native Title Claim Committee (c/o the chairperson Gladys Sumner) for permission to publish this research. The figures in this paper were produced and/or adapted by Amy Roberts. It should also be acknowledged that this research was funded by grants from the Australian Research Council and the Australian Institute of Nuclear Science and Engineering. Mass spectrometry services were provided by Dr Maurice Amato and Dr Evelyn Krull, CSIRO Land and Water, Adelaide, South Australia.",,,,,,,,,,Article,"Final","",Scopus,2-s2.0-84986897278
"Penny D., Hall T., Evans D., Polkinghorne M.","35876542000;57077703000;7601571486;38162428100;","Geoarchaeological evidence from Angkor, Cambodia, reveals a gradual decline rather than a catastrophic 15th-century collapse",2019,"Proceedings of the National Academy of Sciences of the United States of America","116","11",,"4871","4876",,16,"10.1073/pnas.1821460116","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062882468&doi=10.1073%2fpnas.1821460116&partnerID=40&md5=d33c64e62cc46927bcca855e59c40197","School of Geosciences, University of Sydney, Sydney, NSW  2006, Australia; E7acute;cole Française d'Extrême-Orient, Paris, 75116, France; Archaeology, College of Humanities, Arts and Social Sciences, Flinders University, Adelaide, SA  5001, Australia","Penny, D., School of Geosciences, University of Sydney, Sydney, NSW  2006, Australia; Hall, T., School of Geosciences, University of Sydney, Sydney, NSW  2006, Australia; Evans, D., E7acute;cole Française d'Extrême-Orient, Paris, 75116, France; Polkinghorne, M., Archaeology, College of Humanities, Arts and Social Sciences, Flinders University, Adelaide, SA  5001, Australia","Angkor; Archaeology; Cambodia; Collapse","archeology; Article; Cambodia; economics; forest dynamics; geoarchaeology; human; land use; nonhuman; paleoenvironment; plant parameters; priority journal; radiometry; seasonal variation; soil erosion; species invasion; stratigraphy; unemployment; urban population","Australian Nuclear Science and Technology Organisation, ANSTO: AINGRA05134; Horizon 2020 Framework Programme, H2020: 639828; European Research Council, ERC; Australian Research Council, ARC: DE150100756, DP170102574","ACKNOWLEDGMENTS. We acknowledge the support and collaboration of the Authority for the Protection and Management of Angkor and the Region of Siem Reap (APSARA National Authority), Cambodia. This work was funded by the Australian Research Council’s Discovery Projects Scheme Grant DP170102574, Discovery Early Career Researcher Award DE150100756, the European Research Council under the European Union’s Horizon 2020 research and innovation programme Grant Agreement 639828, and the Australian Nuclear Science and Technology Organization Award AINGRA05134.",,,,,,,,,,Article,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85062882468
"Petruzzelli B., Roberts A., Pate F.D., Santoro C.M., Maddern T., Carter C., Westaway M.C.","55598824400;55598595700;35988284300;7004920399;57220218622;57198466970;57202564941;","Stable carbon and nitrogen isotopic analysis of skeletal remains from AZAPA 71 and PICA-8, Northern Chile: An assessment of human diet and landscape use in the late holocene",2012,"Journal of the Anthropological Society of South Australia","35",,,"52","80",,15,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84908453461&partnerID=40&md5=fbc1c52af58b68f864fc2ff89a350134","Department of Archaeology, Flinders University, Adelaide, SA  5001, Australia; Instituto de Alta Investigacion, Universidad de Tarapacá, Arica, Chile; Centro de Investigaciones del Hombre en el Desierto, Arica, Chile; Land and Water, Commonwealth Scientific and Industrial Research Organisation, Adelaide, SA  5064, Australia; School of Archaeology and Anthropology, Australian National University, Canberra, ACT  0200, Australia; Cultures and Histories, Queensland Museum, Brisbane, QLD  4101, Australia","Petruzzelli, B., Department of Archaeology, Flinders University, Adelaide, SA  5001, Australia; Roberts, A., Department of Archaeology, Flinders University, Adelaide, SA  5001, Australia; Pate, F.D., Department of Archaeology, Flinders University, Adelaide, SA  5001, Australia; Santoro, C.M., Instituto de Alta Investigacion, Universidad de Tarapacá, Arica, Chile, Centro de Investigaciones del Hombre en el Desierto, Arica, Chile; Maddern, T., Land and Water, Commonwealth Scientific and Industrial Research Organisation, Adelaide, SA  5064, Australia; Carter, C., School of Archaeology and Anthropology, Australian National University, Canberra, ACT  0200, Australia; Westaway, M.C., Cultures and Histories, Queensland Museum, Brisbane, QLD  4101, Australia",,,"Flinders University; Comisión Nacional de Investigación Científica y Tecnológica, CONICYT: R07C1001; Fondo Nacional de Desarrollo Científico y Tecnológico, FONDECYT: 1095006","Thank you to Dr Rachel Popelka-Filcoff and other technical laboratory staff from the School of Chemical and Physical‎Sciences at Flinders University for facilitating access to laboratory space and equipment. Lily Ellis-Gibbings also‎deserves acknowledgment for her assistance with the laboratory work. This work could not have been conducted without funding from the Australian Federation of University Women (AFUW) and we gratefully acknowledge their assistance with this‎research. Calogero Santoro was funded by FONDECYT Grant 1095006, University of Tarapaca, and Centro de Investigaciones‎del Hombre en el Desierto (CIHDE), CONICYT-REGIONAL R07C1001. Thank you also to the reviewer of this paper for your‎useful comments.",,,,,,,,,,Article,"Final","",Scopus,2-s2.0-84908453461
"Polkinghorne M., Morton C.A., Roberts A., Popelka-Filcoff R.S., Sato Y., Vuthy V., Thammapreechakorn P., Stopic A., Grave P., Hein D., Vitou L.","38162428100;57208800929;55598595700;15521468200;57208795887;57196245444;57191065515;41262646100;55200650200;7103361750;57208802884;","Consumption and exchange in early modern Cambodia: NAA of brown-glaze stoneware from Longvek, 15th–17th centuries",2019,"PLoS ONE","14","5","e0216895","","",,1,"10.1371/journal.pone.0216895","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065836212&doi=10.1371%2fjournal.pone.0216895&partnerID=40&md5=67787cc03cd9dcd3e1aeb28ea6ac71f0","Archaeology, Flinders University, Adelaide, SA, Australia; College of Science and Engineering, Flinders University, Adelaide, SA, Australia; Department of Planning and Coordination, Nara National Research Institute for Cultural Properties, Nara, Nara Prefecture, Japan; Department of Archaeology and Prehistory, Ministry of Culture and Fine Arts, Phnom Penh, Phnom Penh, Cambodia; Arthur M. Sackler Gallery and, Freer Gallery of Art, Washington, DC, United States; Reactor Irradiations, Radioisotopes and Radiotracers, Australian Nuclear Science and Technology Organisation, Lucas Heights, NSW, Australia; Archaeology and Palaeoanthropology, University of New England, Armidale, NSW, Australia","Polkinghorne, M., Archaeology, Flinders University, Adelaide, SA, Australia; Morton, C.A., Archaeology, Flinders University, Adelaide, SA, Australia; Roberts, A., Archaeology, Flinders University, Adelaide, SA, Australia; Popelka-Filcoff, R.S., College of Science and Engineering, Flinders University, Adelaide, SA, Australia; Sato, Y., Department of Planning and Coordination, Nara National Research Institute for Cultural Properties, Nara, Nara Prefecture, Japan; Vuthy, V., Department of Archaeology and Prehistory, Ministry of Culture and Fine Arts, Phnom Penh, Phnom Penh, Cambodia; Thammapreechakorn, P., Arthur M. Sackler Gallery and, Freer Gallery of Art, Washington, DC, United States; Stopic, A., Reactor Irradiations, Radioisotopes and Radiotracers, Australian Nuclear Science and Technology Organisation, Lucas Heights, NSW, Australia; Grave, P., Archaeology and Palaeoanthropology, University of New England, Armidale, NSW, Australia; Hein, D., Arthur M. Sackler Gallery and, Freer Gallery of Art, Washington, DC, United States; Vitou, L., Department of Archaeology and Prehistory, Ministry of Culture and Fine Arts, Phnom Penh, Phnom Penh, Cambodia",,"article; Cambodia; ceramics; China; cultural value; early modern period; neutron activation analysis; storage; Thailand; archeology; Cambodia; commercial phenomena; history; human; Archaeology; Cambodia; Ceramics; Commerce; History, 15th Century; History, 16th Century; History, 17th Century; Humans",,,,,,,,,,,,Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85065836212
"Post V.E.A., Salmon U., van Duivenvoorde W.","6602883169;6505870007;55339010900;","The intertidal springs near the Vergulde Draak 1656 wreck site, Western Australia: hydrogeological characteristics and archaeological significance [西澳大利亚州Vergulde Draak 1656沉船遗址附近的潮间带泉水:水文地质特征和考古意义] [Les sources intertidales près du site de l’épave du Vergulde Draak de 1656, Australie-Occidentale: caractéristiques hydrogéologiques et signification archéologique] [As nascentes entremarés próximas ao local de naufrágio do Vergulde Draak em 1656, Austrália Ocidental: características hidrogeológicas e significado arqueológico] [Los manantiales intermareales próximos al lugar del naufragio del Vergulde Draak en 1656, Australia occidental: características hidrogeológicas e interés arqueológico]",2020,"Hydrogeology Journal","28","6",,"2071","2084",,,"10.1007/s10040-020-02173-3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085600800&doi=10.1007%2fs10040-020-02173-3&partnerID=40&md5=f47456b7257c5ed4643345b3015f8067","College of Science and Engineering, Flinders University, GPO Box 2100, Adelaide, 5001, Australia; Faculty of Science, The University of Western Australia, (M089), 35 Stirling Highway, Perth, WA  6009, Australia; College of Humanities, Arts and Social Sciences, Flinders University, GPO Box 2100, Adelaide, 5001, Australia","Post, V.E.A., College of Science and Engineering, Flinders University, GPO Box 2100, Adelaide, 5001, Australia; Salmon, U., Faculty of Science, The University of Western Australia, (M089), 35 Stirling Highway, Perth, WA  6009, Australia; van Duivenvoorde, W., College of Humanities, Arts and Social Sciences, Flinders University, GPO Box 2100, Adelaide, 5001, Australia","Archaeology; Australia; Coastal aquifers; Karst; Submarine groundwater discharge","archaeology; coastal aquifer; discharge; drinking water; hydrogeology; karst hydrology; spring water; Australia; Western Australia","Australian Research Council, ARC: LP130100137","We acknowledge the generous support for this project from Australian Research Council (Linkage Project LP130100137) and from the Embassy of the Kingdom of the Netherlands in Canberra (2014 Dutch-Australian Cultural Heritage Initiatives scheme). Acknowledgements",,,,,,,,,,Article,"Final","",Scopus,2-s2.0-85085600800
"Ralph J., Smith C.","56292371200;57220065262;","We've got better things to do than worry about whitefella politics': Contemporary Indigenous graffiti and recent government interventions in Jawoyn Country",2014,"Australian Archaeology","78",,,"75","83",,12,"10.1080/03122417.2014.11682002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84904813789&doi=10.1080%2f03122417.2014.11682002&partnerID=40&md5=d8c69fde7f07bf4d13b2c9f7e10cca44","Wallis Heritage Consulting, Brighton SA 5048, Australia; Department of Archaeology, Flinders University, GPO Box 2100, Adelaide SA 5001, Australia","Ralph, J., Wallis Heritage Consulting, Brighton SA 5048, Australia, Department of Archaeology, Flinders University, GPO Box 2100, Adelaide SA 5001, Australia; Smith, C., Department of Archaeology, Flinders University, GPO Box 2100, Adelaide SA 5001, Australia",,,,,,,,,,,,,,Conference Paper,"Final","",Scopus,2-s2.0-84904813789
"Rippon L., Rollog M., Bruce D., Farkas J., Pate F.D., Owen T., Lucas T., McCallum S., Moffat I.","57219922791;6507418352;7202146749;15724895500;35988284300;36977512300;56043027800;57219923464;25224840300;","Baseline bioavailable strontium and oxygen isotope mapping of the Adelaide Region, South Australia",2020,"Journal of Archaeological Science: Reports","34",,"102614","","",,,"10.1016/j.jasrep.2020.102614","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096086734&doi=10.1016%2fj.jasrep.2020.102614&partnerID=40&md5=afdec798a9120f186707e7d0e74a56b7","Archaeology, College of Humanities, Arts and Social Sciences, Flinders University, Adelaide, South Australia, Australia; Department of Earth Sciences, University of AdelaideSouth Australia, Australia; GML Heritage, Sydney, Australia; School of Medical Sciences, University of New South Wales, Australia; McDonald Institute for Archaeological Research, University of Cambridge, United Kingdom","Rippon, L., Archaeology, College of Humanities, Arts and Social Sciences, Flinders University, Adelaide, South Australia, Australia; Rollog, M., Department of Earth Sciences, University of AdelaideSouth Australia, Australia; Bruce, D., Department of Earth Sciences, University of AdelaideSouth Australia, Australia; Farkas, J., Department of Earth Sciences, University of AdelaideSouth Australia, Australia; Pate, F.D., Archaeology, College of Humanities, Arts and Social Sciences, Flinders University, Adelaide, South Australia, Australia; Owen, T., Archaeology, College of Humanities, Arts and Social Sciences, Flinders University, Adelaide, South Australia, Australia, GML Heritage, Sydney, Australia; Lucas, T., Archaeology, College of Humanities, Arts and Social Sciences, Flinders University, Adelaide, South Australia, Australia, School of Medical Sciences, University of New South Wales, Australia; McCallum, S., Archaeology, College of Humanities, Arts and Social Sciences, Flinders University, Adelaide, South Australia, Australia; Moffat, I., Archaeology, College of Humanities, Arts and Social Sciences, Flinders University, Adelaide, South Australia, Australia, McDonald Institute for Archaeological Research, University of Cambridge, United Kingdom","Archaeology; Oxygen Isotopes; Provenance; South Australia; Strontium Isotopes",,"Australian Government; Australian Research Council, ARC: 160100703, GS0023-1, GS0023-2, LE0775482, LE140100141; Flinders University","This research was supported by an EHL Medium Research Project Grant from Flinders University to Pate, Owen and Moffat. Dr Ian Moffat is the recipient of an Australian Research Council Discovery Early Career Award (#DE160100703) funded by the Australian Government and Commonwealth Rutherford Fellowship funded by the Commonwealth Scholarships Commission. Many thanks to the Homerton College for hosting Ian as a Research Associate during the writing of this manuscript. The LA-MC-ICPMS and TIMS facilities used for this study were funded by ARC LIEF grants # LE0775482 and # LE140100141, respectively. Many thanks to Zell Peterman for donating the EN-1 standard used in this analysis, to Associate Professor Huade Guan and Professor Craig Simmons for generously sharing their unpublished isotope data, to Claire Wright, Thurid Luetzeler and Justine Payne for assistance with LA-MC-ICPMS analysis, and to Professor Maciej Henneberg for access to the modern koala sample. Many thanks to Sean Freeman and Jo Thredgold who have provided fine wine and outstanding conversation at the Gilles Street site that was the source of samples GS0023-1 and GS0023-2 in this study. Thank you to the editor and two anonymous reviewers whose insightful comments improved the clarity of this manuscript.","This research was supported by an EHL Medium Research Project Grant from Flinders University to Pate, Owen and Moffat. Dr Ian Moffat is the recipient of an Australian Research Council Discovery Early Career Award (#DE160100703) funded by the Australian Government and Commonwealth Rutherford Fellowship funded by the Commonwealth Scholarships Commission. Many thanks to the Homerton College for hosting Ian as a Research Associate during the writing of this manuscript. The LA-MC-ICPMS and TIMS facilities used for this study were funded by ARC LIEF grants # LE0775482 and # LE140100141, respectively.",,,,,,,,,Article,"Final","",Scopus,2-s2.0-85096086734
"Roberts A., Morton C., Westell C., Burke H., Morrison M., the River Murray and Mallee Aboriginal Corporation","55598595700;57208800929;57208186904;37083022000;52964138600;","A report on a tektite (australite) artefact from Calperum Station in the western central River Murray region, South Australia",2020,"Australian Archaeology","86","1",,"75","79",,,"10.1080/03122417.2020.1752432","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084261438&doi=10.1080%2f03122417.2020.1752432&partnerID=40&md5=a280ffd925757bed376e1b77d3e70b6d","College of Humanities, Arts and Social Sciences, Flinders University, Bedford Park, SA, Australia; Department of Archaeology, Classics and History, University of New England, Armidale, NSW, Australia; c/o South Australian Native Title Services, Adelaide, SA, Australia","Roberts, A., College of Humanities, Arts and Social Sciences, Flinders University, Bedford Park, SA, Australia; Morton, C., College of Humanities, Arts and Social Sciences, Flinders University, Bedford Park, SA, Australia; Westell, C., College of Humanities, Arts and Social Sciences, Flinders University, Bedford Park, SA, Australia; Burke, H., College of Humanities, Arts and Social Sciences, Flinders University, Bedford Park, SA, Australia; Morrison, M., Department of Archaeology, Classics and History, University of New England, Armidale, NSW, Australia; the River Murray and Mallee Aboriginal Corporation","australite; flaked natural glass; Murray River; Norman Tindale; South Australia; Tektite",,"Australian Research Council, ARC: 6618, LP170100479; Flinders University","The authors thank the Archives? staff from the South Australian Museum (SAM) who provided generous assistance with access to documents. The authors also thank Ben McHenry (SAM) for providing access to the Mineral Sciences Collection and for guidance on known australites in SA. The authors thank Flinders University students for assistance in the field. This research was supported by the Australian Research Council (LP170100479). Thank you to the Australian Landscape Trust for continuing to support our research at Calperum Station. This study was approved by Flinders University?s Social and Behavioural Research Ethics Committee (Project Number: 6618).","The authors thank the Archives’ staff from the South Australian Museum (SAM) who provided generous assistance with access to documents. The authors also thank Ben McHenry (SAM) for providing access to the Mineral Sciences Collection and for guidance on known australites in SA. The authors thank Flinders University students for assistance in the field. This research was supported by the Australian Research Council (LP170100479). Thank you to the Australian Landscape Trust for continuing to support our research at Calperum Station. This study was approved by Flinders University’s Social and Behavioural Research Ethics Committee (Project Number: 6618).",,,,,,,,,Article,"Final","",Scopus,2-s2.0-85084261438
"Roberts A., Burke H., Morton C., the River Murray and Mallee Aboriginal Corporation","55598595700;37083022000;57208800929;","Connection, trespass, identity and a swastika: mark-making and entanglements at Pudjinuk Rockshelter No. 1, South Australia",2019,"Australian Archaeology","85","3",,"235","251",,2,"10.1080/03122417.2019.1738666","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083557464&doi=10.1080%2f03122417.2019.1738666&partnerID=40&md5=0deba46d4f38d5e3dc59663da2f8d304","College of Humanities, Arts and Social Sciences, Flinders University, Adelaide, SA, Australia; c/o South Australian Native Title Services, Adelaide, SA, Australia","Roberts, A., College of Humanities, Arts and Social Sciences, Flinders University, Adelaide, SA, Australia; Burke, H., College of Humanities, Arts and Social Sciences, Flinders University, Adelaide, SA, Australia; Morton, C., College of Humanities, Arts and Social Sciences, Flinders University, Adelaide, SA, Australia; the River Murray and Mallee Aboriginal Corporation","Colonisation; Entanglement; Frontier conflict; Graffiti; River Murray; Rock art; South Australia",,"Australian Research Council, ARC: LP170100479; Flinders University","Research at the Pudjinuk rockshelters is being funded by the Australian Research Council [LP170100479]. The authors thank the staff and students who worked on the field school seasons during which some of the observations noted in this paper were made. The authors also thank staff at Aboriginal Affairs and Reconciliation, Department of State Development, Government of South Australia, for providing site cards and photographs. The South Australian Museum Archives? staff provided generous assistance with archival documents. The authors thank the private landholders who allowed us access to the rockshelters and members of the local community who spoke to us informally about their family?s engravings. The authors also thank Susan Marsden and Tom Gara for comments on the Heritage Conservation Branch and Aboriginal Heritage Branch eras, Heidelise Josling for assistance with historical research and cataloguing, Jo Thredgold for field assistance and Chantal Wight, the Flinders University Archaeology Department?s terrestrial technical officer, for field support and recording assistance. The authors acknowledge the guidance on historical records relating to Nazis in Australia provided by Peter Monteath and Matt Fitzpatrick. The authors also thank the anonymous reviewers and Editors for their comments which have served to improve our work.",,,,,,,,,,Article,"Final","",Scopus,2-s2.0-85083557464
